"site","year","mean_tasmin_April","mean_tasmin_May","mean_tasmin_June","mean_tasmax_April","mean_tasmax_May","mean_tasmax_June","tasmean_April","tasmean_May","tasmean_June"
"TROUGHBARROW","2019",4.22541384203965,6.01953470164873,9.89816132581766,14.3368294714485,15.0635654065225,17.7764623616311,9.28112165674405,10.5415500540856,13.8373118437244
"TROUGHBARROW","2020",4.47771704182562,6.12536503371917,10.8464343119089,14.8655890518166,16.8295776621163,18.974710082002,9.67165304682113,11.4774713479177,14.9105721969555
"TROUGHBARROW","2022",3.99857231977738,8.50786388659699,10.0025701300775,13.2942611071616,15.8598408793826,18.3196736395643,8.64641671346951,12.1838523829898,14.1611218848209
"TROUGHBARROW","2023",4.39251034846764,7.35394859112111,10.7759572102975,12.7008529613728,17.57756498792,22.0856234961694,8.54668165492022,12.4657567895206,16.4307903532334
"WHITEWOOD","2012",3.03224561621055,7.31598706708504,9.86464864141097,10.6505412863239,15.8163317495574,16.4307627681221,6.84139345126723,11.5661594083212,13.1477057047665
"WHITEWOOD","2013",3.21722063298178,5.36793894101096,9.33612110199966,10.3429294792427,14.0881227863476,17.3249546106104,6.78007505611226,9.72803086367929,13.330537856305
"YARNER","2011",6.88994323944547,7.66058270904747,9.33957668399729,16.4872413832997,15.2576701263149,17.7042893942503,11.6885923113726,11.4591264176812,13.5219330391238
"YARNER","2012",3.33617449189887,7.52077877830774,10.1395442930042,10.7143527650269,15.9325258983733,16.60110857024,7.02526362846288,11.7266523383405,13.3703264316221
"YARNER","2013",3.4454162979038,5.66278255287795,9.4533730783729,10.5224854898727,14.0393893904183,17.5664268930201,6.98395089388827,9.85108597164812,13.5098999856965
"YARNER","2014",5.80318299948484,8.28556119826869,10.5713448668155,13.4287939353876,15.4415586527478,19.6673840355757,9.61598846743622,11.8635599255082,15.1193644511956
"YARNER","2016",3.53265416395977,7.7178558329938,11.257935879638,11.3548623864018,16.4923695102374,18.3546586272264,7.44375827518079,12.1051126716156,14.8062972534322
"YARNER","2017",4.2745013972661,8.54268123602944,10.9502213306243,13.3280533069446,16.3190240996486,19.2535270510862,8.80127735210534,12.430852667839,15.1018741908553
"YARNER","2018",6.28330363630481,7.88792200004964,11.4152479579174,12.9755053639895,17.4725268779268,21.4929268921664,9.62940450014715,12.6802244389882,16.4540874250419
"YARNER","2019",5.2277675055608,6.35906687897162,10.1839625999962,13.0510095344388,15.4664809383246,17.7169357311943,9.13938851999978,10.9127739086481,13.9504491655952
"YARNER","2021",2.04419822784899,6.1117244479942,10.44984309366,11.611427452354,13.2662184275567,19.3993527849264,6.82781284010151,9.68897143777544,14.9245979392932
"YARNER","2022",4.70260385176999,8.31351454682381,9.68767894557571,13.2294338014017,16.3742733924358,19.14584986575,8.96601882658585,12.3438939696298,14.4167644056629
"YARNER","2023",5.18599417963218,8.26731981997732,11.7314396217651,12.4657554882075,17.555641879381,22.2225101087884,8.82587483391982,12.9114808496792,16.9769748652768
