"year","site","mean_tasmin_April","mean_tasmin_May","mean_tasmin_June","mean_tasmax_April","mean_tasmax_May","mean_tasmax_June","tasmean_April","tasmean_May","tasmean_June","tasmean_AprMay"
"2009","DUNSFORD",4.49304307454521,7.01830589934473,9.84453826813163,13.0809894921655,14.9079847914657,18.8381605874027,8.78701628335537,10.9631453454052,14.3413494277672,9.87508081438029
"2009","FAITHWAITE",4.90195898967404,7.21917485002436,9.84046903336752,13.9731402042565,15.2181809153476,18.9023035641751,9.43754959696525,11.218677882686,14.3713862987713,10.3281137398256
"2009","MIDDLEWOOD",4.69570235332242,6.9531273715001,9.55134796691441,13.8588271507171,15.0913276744745,18.7170271505592,9.27726475201973,11.0222275229873,14.1341875587368,10.1497461375035
"2009","NAGSHEAD",4.80965407106119,7.17190494455854,9.86456752278415,14.3451412086631,16.6870477499859,20.1674218593426,9.57739763986214,11.9294763472722,15.0159946910634,10.7534369935672
"2009","NEADON",5.16990894320852,7.42191810275612,10.0434365216509,13.4575488188762,15.4032556283768,19.261750092368,9.31372888104238,11.4125868655665,14.6525933070095,10.3631578733044
"2009","SLINDON",5.09507827428814,7.25943674582474,9.31696894778685,14.3892063222804,16.914488238662,20.4230271925623,9.74214229828428,12.0869624922434,14.8699980701746,10.9145523952638
"2009","SPW",5.09900263477011,7.37063981645159,9.78321396085579,15.2873818511642,17.747472204058,20.594206471335,10.1931922429671,12.5590560102548,15.1887102160954,11.376124126611
"2009","TRESWELL",4.50625631035236,7.04190752868056,9.33096533041268,15.0808612049171,16.9722196989547,20.410441264339,9.79355875763471,12.0070636138176,14.8707032973758,10.9003111857262
"2009","TROUGHBARROW",4.65934348316481,7.14006203801674,9.50967404362483,14.071930933009,15.2929904955372,19.2080701469617,9.36563720808693,11.216526266777,14.3588720952933,10.291081737432
"2009","WHITEWOOD",4.9137850495795,7.21444217690186,9.77001758422028,13.4659778535255,15.3090764177769,19.2654210739914,9.18988145155251,11.2617592973394,14.5177193291058,10.225820374446
"2009","YARNER",5.16990894320852,7.42191810275612,10.0434365216509,13.4575488188762,15.4032556283768,19.261750092368,9.31372888104238,11.4125868655665,14.6525933070095,10.3631578733044
"2010","BELTWOOD",3.86949675278561,5.61245814071481,9.97926474685155,12.769317763118,14.4202590804181,19.1571970395023,8.31940725795181,10.0163586105665,14.5682308931769,9.16788293425914
"2010","BLACKPOOL",3.68012566300064,5.9048880563465,9.62155718163687,13.1356598111478,14.887527703315,20.217671213152,8.40789273707419,10.3962078798308,14.9196141973944,9.40205030845248
"2010","BLACKWOOD",3.86949675278561,5.61245814071481,9.97926474685155,12.769317763118,14.4202590804181,19.1571970395023,8.31940725795181,10.0163586105665,14.5682308931769,9.16788293425914
"2010","BRIDFORD",3.0991316158136,6.48647218741891,9.80499634068866,13.6033896526212,15.4762053160395,20.8180173106496,8.35126063421739,10.9813387517292,15.3115068256691,9.66629969297331
"2010","BVW",3.81722711300834,6.30984050187383,9.7004002012803,13.2235603492454,15.1021383399168,20.4270808787027,8.52039373112686,10.7059894208953,15.0637405399915,9.61319157601108
"2010","DUNSFORD",3.13917075761323,5.96844823767284,9.37014305666654,12.9010070425426,14.7162779897305,19.9585507525028,8.02008890007791,10.3423631137017,14.6643469045847,9.1812260068898
"2010","FAITHWAITE",3.86949675278561,5.61245814071481,9.97926474685155,12.769317763118,14.4202590804181,19.1571970395023,8.31940725795181,10.0163586105665,14.5682308931769,9.16788293425914
"2010","MIDDLEWOOD",3.66364498944687,5.3054885132465,9.73024680980243,12.7449557612421,14.3619352870411,19.0953901084926,8.20430037534451,9.8337119001438,14.4128184591475,9.01900613774415
"2010","NAGSHEAD",3.61413704124529,6.16399139489315,9.82573755468784,14.366159198198,16.2479605799929,21.1244304258113,8.99014811972163,11.205975987443,15.4750839902496,10.0980620535823
"2010","NEADON",3.81722711300834,6.30984050187383,9.7004002012803,13.2235603492454,15.1021383399168,20.4270808787027,8.52039373112686,10.7059894208953,15.0637405399915,9.61319157601108
"2010","SLINDON",3.06373937659126,4.85817878363138,9.29443473672455,14.1257772335465,15.7538492957937,21.0105108309829,8.59475830506886,10.3060140397125,15.1524727838537,9.4503861723907
"2010","SPW",3.48692329721387,5.46138200636658,9.80413208072827,14.6168054887468,15.9697661042056,21.5537526035826,9.05186439298032,10.7155740552861,15.6789423421554,9.88371922413321
"2010","TRESWELL",3.35115548741399,5.69776397941258,9.71824163927878,14.6778157120393,15.8607703066156,21.2077227783216,9.01448559972664,10.7792671430141,15.4629822088002,9.89687637137036
"2010","TROUGHBARROW",3.5383415949742,5.22245482127091,9.73889684709246,12.9208096904723,14.6972254432512,19.4262441001277,8.22957564272324,9.95984013226104,14.5825704736101,9.09470788749214
"2010","WHITEWOOD",3.68012566300064,5.9048880563465,9.62155718163687,13.1356598111478,14.887527703315,20.217671213152,8.40789273707419,10.3962078798308,14.9196141973944,9.40205030845248
