"site","year","day","tasmin","tasmax","tasmean"
"SPW","2011","June_09",7.36714528929125,17.4988622410429,12.4330037651671
"SPW","2011","June_10",5.35424770570926,15.2642146842848,10.309231194997
"SPW","2011","June_11",6.78997744309445,17.9340945305327,12.3620359868136
"SPW","2011","June_12",4.12797349900573,16.2942171060595,10.2110953025326
"SPW","2011","June_13",10.6905333429083,20.5627229483422,15.6266281456252
"SPW","2011","June_14",6.95231247740028,21.8845094028235,14.4184109401119
"SPW","2011","June_15",12.8845904894825,20.1902894299854,16.537439959734
"SPW","2011","June_16",11.5567499425827,18.058200594829,14.8074752687059
"SPW","2011","June_17",7.95792461116014,15.2588779286462,11.6084012699032
"SPW","2011","June_18",10.3312580391609,17.4971464191447,13.9142022291528
"SPW","2011","June_19",9.87174924275029,18.0827064177969,13.9772278302736
"SPW","2011","June_20",6.34040962272631,20.3226110832414,13.3315103529839
"SPW","2011","June_21",13.7925307164175,20.8960743493812,17.3443025328993
"SPW","2011","June_22",10.6883134439539,18.4205690090185,14.5544412264862
"SPW","2011","June_23",9.87061428705964,18.4821121682205,14.1763632276401
"SPW","2011","June_24",7.60523464492155,18.7220066897968,13.1636206673592
"SPW","2011","June_25",10.3725260052151,22.5747550651426,16.4736405351788
"SPW","2011","June_26",14.1533294458008,27.989203786338,21.0712666160694
"SPW","2011","June_27",16.7210242943853,30.8630038742202,23.7920140843027
"SPW","2011","June_28",15.6599421762534,18.9634159219103,17.3116790490819
"SPW","2011","June_29",8.29125761911945,20.1021887655606,14.19672319234
"SPW","2011","June_30",7.33344734872859,19.0195149717195,13.176481160224
"SPW","2012","April_01",-1.16937174665869,12.5933052274164,5.71196674037887
"SPW","2012","April_02",0.412478535338579,13.9867486408269,7.19961358808272
"SPW","2012","April_03",3.44742074692249,12.9128192776861,8.18012001230428
"SPW","2012","April_04",2.35946171416107,10.6245276221736,6.49199466816734
"SPW","2012","April_05",4.73862467004423,8.66495986881044,6.70179226942734
"SPW","2012","April_06",-3.7587017972655,11.0374747513439,3.63938647703919
"SPW","2012","April_07",5.30432488076026,9.93817043580277,7.62124765828152
"SPW","2012","April_08",3.38020654333008,12.6591801158949,8.01969332961249
"SPW","2012","April_09",7.3173680823358,10.7381021531246,9.02773511773022
"SPW","2012","April_10",4.23719304434143,12.7304974998222,8.48384527208181
"SPW","2012","April_11",0.985947874925637,13.0341841594102,7.01006601716791
"SPW","2012","April_12",1.15609003813845,12.4034225900486,6.7797563140935
"SPW","2012","April_13",1.24399743189121,12.3620638288635,6.80303063037734
"SPW","2012","April_14",2.21964425643436,10.9853866733484,6.60251546489138
"SPW","2012","April_15",0.526784527604413,9.09941371452061,4.81309912106251
"SPW","2012","April_16",-2.26765989524125,10.3324629433274,4.03240152404307
"SPW","2012","April_17",3.51105336435384,13.6617858654215,8.58641961488765
"SPW","2012","April_18",3.67488528572575,10.4007621922188,7.03782373897226
"SPW","2012","April_19",5.58290117190433,10.7879067049208,8.18540393841257
"SPW","2012","April_20",3.87043942581466,12.5279665466578,8.19920298623621
"SPW","2012","April_21",1.08182832329073,12.9222751183922,7.00205172084148
"SPW","2012","April_22",3.01633805919674,14.1164324795023,8.56638526934951
"SPW","2012","April_23",4.1987552688651,10.7207374886994,7.45974637878227
"SPW","2012","April_24",5.57162842949912,12.1334611651556,8.85254479732735
"SPW","2012","April_25",3.79723922911283,11.5902621033586,7.69375066623573
"SPW","2012","April_26",5.94513818351488,13.502673894302,9.72390603890842
"SPW","2012","April_27",8.04824667386744,13.3259706649712,10.6871086694193
"SPW","2012","April_28",6.97141619187817,8.35750442053173,7.66446030620495
"SPW","2012","April_29",4.57722825233063,14.282063018769,9.42964563554983
"SPW","2012","April_30",5.76538987387431,17.7134937349139,11.7394418043941
"SPW","2012","May_01",9.57658202374765,15.8516727834004,12.714127403574
"SPW","2012","May_02",7.91042078658545,13.557746354208,10.7340835703967
"SPW","2012","May_03",6.74955694180577,8.17132262936233,7.46043978558405
"SPW","2012","May_04",5.67797666480936,8.86473543823721,7.27135605152329
"SPW","2012","May_05",4.03392651475203,9.29357486697918,6.66375069086561
"SPW","2012","May_06",3.7549307581384,9.97392504518072,6.86442790165956
"SPW","2012","May_07",1.3342103295371,13.6503369575364,7.49227364353673
"SPW","2012","May_08",9.12774649017802,17.3743407775176,13.2510436338478
"SPW","2012","May_09",8.82937678822069,16.1705426072152,12.4999596977179
"SPW","2012","May_10",10.6574913559531,17.9778943636413,14.3176928597972
"SPW","2012","May_11",9.91636617354061,15.0135046303444,12.4649354019425
"SPW","2012","May_12",3.07126946670984,14.2736540005313,8.67246173362059
"SPW","2012","May_13",1.58325540417439,16.5241505288875,9.05370296653094
"SPW","2012","May_14",5.94780002215474,12.4167797296753,9.18228987591502
"SPW","2012","May_15",3.58723528430203,11.3315841389123,7.45940971160716
"SPW","2012","May_16",1.89399963798105,13.5352257124356,7.71461267520834
"SPW","2012","May_17",5.4560263220089,14.3684570148519,9.91224166843039
"SPW","2012","May_18",7.78654767188892,16.2930125645501,12.0397801182195
"SPW","2012","May_19",10.495553851791,14.9820219839563,12.7387879178737
"SPW","2012","May_20",7.71758697837624,11.046669806947,9.38212839266163
"SPW","2012","May_21",7.96963746711397,15.5841088040166,11.7768731355653
"SPW","2012","May_22",8.67189787926868,23.9968447220091,16.3343713006389
"SPW","2012","May_23",10.1405184369377,23.4822071022842,16.811362769611
"SPW","2012","May_24",11.9707059942362,24.7780088970176,18.3743574456269
"SPW","2012","May_25",12.179830827879,23.946612392489,18.063221610184
"SPW","2012","May_26",12.4304423425603,24.2925576257431,18.3614999841517
"SPW","2012","May_27",10.3309743067875,25.6229989645363,17.9769866356619
"SPW","2012","May_28",9.33826113878616,25.6182964998478,17.478278819317
"SPW","2012","May_29",11.8364773054618,20.4351582775141,16.1358177914879
"SPW","2012","May_30",9.74741664981987,24.2605695289769,17.0039930893984
"SPW","2012","May_31",11.6769820218389,18.7568867882855,15.2169344050622
"SPW","2012","June_01",12.1949662994408,19.6523325366301,15.9236494180354
