site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,707,BLUTI,6,0,41,ED,9.675675676,6,6.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,H1,BLUTI,4,0,28,XP,9.675675676,4,-8.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,601,GRETI,8,7,27,NE,7.25,8,-5.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,603,BLUTI,9,9,33,NE,9.675675676,9,1.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,604,GRETI,8,8,26,NE,7.25,8,-6.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,606,GRETI,8,7,29,NE,7.25,8,-3.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,607,GRETI,8,8,29,NE,7.25,8,-3.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,608,BLUTI,13,13,31,NE,9.675675676,13,3.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,609,BLUTI,11,11,31,NE,9.675675676,11,1.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,610,BLUTI,13,9,31,NE,9.675675676,13,3.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,720,BLUTI,10,10,33,NE,9.675675676,10,2.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,719,BLUTI,8,6,31,NE,9.675675676,8,-1.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,717,BLUTI,9,7,29,NE,9.675675676,9,-2.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,716,BLUTI,12,11,28,NE,9.675675676,12,-0.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,723,BLUTI,12,11,27,NE,9.675675676,12,-1.154544863,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,715,GRETI,7,6,38,NE,7.25,7,4.845455137,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
SPW,2013,64.15454486,62.04114691,66.36328436,1468.907551,832.9763188,2545.821706,3A,BLUTI,NA,5,39,NE,9.675675676,9.675675676,8.521130813,7.292274241,3.006682306,5.824764225,9.270821148,12.6796877,15.42208113,18.74053508,7.843185003,10.62342268,14.00567811,9.23330384,4.415723265,14.05088441
