BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DAR,N1,DFE,DH,MinEggs,UnHatch,AverageMass,Outcome,MaleID,MaleDate,MaleRingDate,MaleStatus,MaleMinAge,FemaleID,FemaleDate,FemaleRingDate,FemaleStatus,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Young11,Weight.Y1,Tarsus.Y1,Weight.Y2,Tarsus.Y2,Weight.Y3,Tarsus.Y3,Weight.Y4,Tarsus.Y4,Weight.Y5,Tarsus.Y5,Weight.Y6,Tarsus.Y6,Weight.Y7,Tarsus.Y7,Weight.Y8,Tarsus.Y8,Weight.Y9,Tarsus.Y9,Weight.Y10,Tarsus.Y10,Weight.Y11,Tarsus.Y11
76,1961,30,YAR,PIEFL,1,6,,0,,,47,,,,,JD,K54906,01/06/1961,08/06/1959,S,3,K99715,08/06/1961,08/06/1960,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1961,33,YAR,PIEFL,1,6,6,0,,,44,,,,,JD,K54906,,08/06/1959,S,3,K99730,01/06/1961,16/06/1960,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1961,44,YAR,PIEFL,1,7,7,0,,,43,,,,,JD,K99773,01/06/1961,01/06/1961,I,1,F22948,29/05/1961,01/06/1960,S,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1962,20,YAR,NUTHA,1,8,8,2,,,34,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1962,23,YAR,PIEFL,1,7,7,7,,,45,,,,,NE,AC36327,12/06/1962,12/06/1962,I,1,F22948,24/05/1962,01/06/1960,S,3,16/06/1962,AC36333,AC36334,AC36335,AC36336,AC36337,AC36338,AC36339,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1962,25,YAR,REDST,1,6,,5,,,46,,,,,NE,,,,,,,,,,,16/06/1962,AC36340,AC36341,AC36342,AC36343,AC36344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1962,33,YAR,PIEFL,1,7,,5,,,42,,,,,NE,K99714,08/06/1962,08/06/1960,R,2,K99772,29/05/1962,17/05/1961,S,2,12/06/1962,AC36328,AC36329,AC36330,AC36331,AC36332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1963,4,YAR,PIEFL,1,6,4,4,,,49,,,,,NE,K99781,15/06/1963,08/06/1960,R,3,AC36393,04/06/1963,04/06/1963,I,1,17/06/1963,AC36346,AC36347,AC36348,AC36349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1963,6,YAR,PIEFL,1,7,7,7,,,50,,,,,NE,K99781,,08/06/1960,S,3,K99779,04/06/1963,03/06/1961,R,2,17/06/1963,AH03613,AH03614,AH03615,AH03616,AH03617,AH03618,AH03619,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1963,18,YAR,PIEFL,1,7,7,7,,,46,,,,,NE,AC36327,17/06/1963,12/06/1962,S,2,AC36392,23/05/1963,23/05/1963,I,1,17/06/1963,AH03601,AH03602,AH03603,AH03604,AH03605,AH03606,AH03607,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1963,33,YAR,PIEFL,1,7,6,5,,,50,,,,,NE,K54906,22/06/1963,08/06/1959,S,5,AC36395,04/06/1963,04/06/1963,I,1,17/06/1963,AH03608,AH03609,AH03610,AH03611,AH03612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1963,44,YAR,PIEFL,1,7,7,6,,,,,,,,NE,,,,,,AC36345,04/06/1963,04/06/1963,I,1,25/06/1963,AC36350,AC36396,AC36397,AC36398,AC36399,AC36400,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1963,47,YAR,PIEFL,1,7,,3,,,,,,,,NE,K99781,,08/06/1960,S,3,AC36394,04/06/1963,04/06/1963,I,1,25/06/1963,AH03620,AH03621,AH03622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1964,2,YAR,PIEFL,1,8,4,4,,,41,,,4,,NE,K99781,03/06/1964,08/06/1960,S,4,AC36394,26/05/1964,04/06/1963,S,2,11/06/1964,AH03631,AH03632,AH03633,AH03634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
