site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
SPW,3,2016,OK/HO,52.60545906,52.04207921,414.261801,396,,,,,
SPW,4,2016,OK/HO,51.36363636,51.81018613,575.9934786,475,,,,,
SPW,1,2017,OK/HO,43.75324675,44.46026097,950.6560611,921,,,,,
SPW,2,2017,OK/HO,49.44444444,42.54901961,274.235938,360,,,,,
SPW,3,2017,OK/HO,47.02198853,39.45960699,287.411572,427,,,,,
SPW,4,2017,OK/HO,46.52406417,38.03754266,661.6297103,1228,,,,,
SPW,1,2018,OK/HO,46.04291487,48.46567542,3596.551618,5959,,,,,
SPW,2,2018,OK/HO,46.77765843,46.75107501,1479.840455,2041,,,,,
SPW,3,2018,OK/HO,48.85392032,49.04322227,2694.543846,6149,,,,,
SPW,4,2018,OK/HO,48.36715282,48.65386937,5798.018615,13084,,,,,
SPW,1,2019,OK/HO,40.15567766,39.44033791,23029.62442,26170,,,,,
SPW,2,2019,OK/HO,45.9385993,44.37200639,2878.353618,3958,,,,,
SPW,3,2019,OK/HO,43.84593107,42.66418835,11968.96175,17470,,,,,
SPW,4,2019,OK/HO,42.64268728,41.74528302,26454.44513,46729,,,,,
SPW,1,2020,OK/HO,36.78494953,35.46321526,25797.58525,31224,,,,,
SPW,2,2020,OK/HO,39.64525407,37.97592385,5600.428335,7186,,,,,
SPW,3,2020,OK/HO,38.16702241,36.85542169,32060.64415,66474,,,,,
SPW,4,2020,OK/HO,36.89564647,35.91237942,81287.4621,112962,,,,,
SPW,1,2021,OK/HO,56.79713805,54.58564932,34129.85969,47720,,,,,
SPW,2,2021,OK/HO,58.01903419,56.20327339,13131.42031,21578,,,,,
SPW,3,2021,OK/HO,56.18526191,55.02630041,36901.61759,56913,,,,,
SPW,4,2021,OK/HO,54.56467662,52.47816852,26886.98904,37807,,,,,
TRESWELL,1,2014,OK,,,,94.1,,,,,
TRESWELL,2,2014,AH,,,,47,,,,,
TRESWELL,3,2014,OK,,,,376,,,,,
TRESWELL,4,2014,AH,,,,100,,,,,
TRESWELL,5,2014,OK,,,,447,,,,,
TRESWELL,6,2014,AH,,,,0,,,,,
TRESWELL,1,2015,OK,53.58767054,56.76683235,46.07481523,153.7,,,,,
